4184,4244,191,4115,164,1468351670.32
4184,4244,191,4115,164,1468351703.74
4147,4216,157,4069,139,1468351738.88
4184,4244,191,4115,164,1468351773.17
4147,4216,157,4069,139,1468351807.79
4197,4254,208,4128,173,1468351841.3
4184,4244,191,4115,164,1468351874.18
4184,4244,191,4115,164,1468351906.55
4197,4254,208,4128,173,1468351938.78
4184,4244,191,4115,164,1468351971.23
4197,4254,208,4128,173,1468352004.36
4184,4244,191,4115,164,1468352038.07
4197,4254,208,4128,173,1468352066.34
4184,4244,191,4115,164,1468352100.24
4197,4254,208,4128,173,1468352134.6
4197,4254,208,4128,173,1468352169.24
4184,4244,191,4115,164,1468352202.94
4197,4254,208,4128,173,1468352236.89
4268,4263,220,4278,116,1468352271.05
4268,4263,220,4278,116,1468352304.33
4197,4254,208,4128,173,1468352340.22
4268,4263,220,4278,116,1468352375.14
4268,4263,220,4278,116,1468352410.25
4272,4266,228,4281,120,1468352444.67
4272,4266,228,4281,120,1468352478.93
4272,4266,228,4281,120,1468352513.55
4268,4263,220,4278,116,1468352546.92
4268,4263,220,4278,116,1468352580.27
4272,4266,228,4281,120,1468352613.75
4268,4263,220,4278,116,1468352646.3
4268,4263,220,4278,116,1468352680.0
4272,4266,228,4281,120,1468352712.28
4268,4263,220,4278,116,1468352744.52
4268,4263,220,4278,116,1468352776.85
4268,4263,220,4278,116,1468352809.92
4272,4266,228,4281,120,1468352844.05
4285,4278,256,4297,145,1468352877.54
4272,4266,228,4281,120,1468352911.63
4285,4278,256,4297,145,1468352946.09
4272,4266,228,4281,120,1468352980.67
4272,4266,228,4281,120,1468353015.53
4285,4278,256,4297,145,1468353051.04
4293,4286,279,4305,162,1468353086.24
4293,4286,279,4305,162,1468353120.92
4285,4278,256,4297,145,1468353155.55
4293,4286,279,4305,162,1468353191.4
4285,4278,256,4297,145,1468353225.52
4285,4278,256,4297,145,1468353260.47
4285,4278,256,4297,145,1468353295.0
4285,4278,256,4297,145,1468353329.47
4285,4278,256,4297,145,1468353364.73
4285,4278,256,4297,145,1468353399.81
4285,4278,256,4297,145,1468353434.89
4296,4289,289,4308,170,1468353470.74
4296,4289,289,4308,170,1468353505.69
4296,4289,289,4309,172,1468353540.5
4296,4289,289,4309,172,1468353575.24
4296,4289,289,4308,170,1468353609.92
4296,4289,289,4308,170,1468353643.65
4296,4289,289,4308,170,1468353678.7
4372,4372,85,4372,71,1468353716.41
4372,4372,85,4372,71,1468353755.35
4296,4289,289,4308,170,1468353789.38
4296,4289,289,4308,170,1468353824.04
4372,4372,85,4372,71,1468353858.9
4296,4289,289,4308,170,1468353893.54
4372,4372,85,4372,71,1468353927.89
4372,4372,85,4372,71,1468353961.79
4372,4372,85,4372,71,1468353996.11
4372,4372,135,4372,104,1468354634.4
4372,4372,135,4372,104,1468354666.16
4372,4372,117,4372,88,1468354700.34
4372,4372,117,4372,88,1468354735.96
4372,4372,117,4372,88,1468354771.06
4372,4372,135,4372,104,1468354805.49
4372,4372,165,4372,136,1468354841.0
4372,4372,165,4372,136,1468354876.03
4372,4372,135,4372,104,1468354910.18
4372,4372,135,4372,104,1468354945.82
4372,4372,165,4372,136,1468354980.01
4372,4372,165,4372,136,1468355013.85
4372,4372,135,4372,104,1468355048.13
4372,4372,135,4372,104,1468355083.64
4372,4372,165,4372,136,1468355119.31
4372,4372,165,4372,136,1468355155.69
4372,4372,165,4372,136,1468355190.89
4372,4372,165,4372,136,1468355225.84
4372,4372,165,4372,136,1468355260.6
4372,4372,165,4372,136,1468355295.93
4372,4372,165,4372,136,1468355330.7
4372,4372,165,4372,136,1468355364.95
4372,4372,165,4372,136,1468355399.44
4372,4372,165,4372,136,1468355434.46
4357,4358,212,4356,182,1468355471.79
4363,4364,197,4362,167,1468355506.83
4363,4364,197,4362,167,1468355542.03
4363,4364,197,4362,167,1468355576.88
4357,4358,212,4356,182,1468355611.27
4363,4364,197,4362,167,1468355646.73
4357,4358,212,4356,182,1468355680.72
4357,4358,212,4356,182,1468355715.17
